first_seen_utc,ioc_id,ioc_value,ioc_type,threat_type,fk_malware,malware_alias,malware_printable,last_seen_utc,confidence_level,reference,tags,anonymous,reporter
2024-06-14 13:56:05, 1284729, 4c4d8ddc6afce07f623b256fb21638cbdbd16144, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:56:02, 1284726, 898b3c5962fc2ab88e978b50e6b26426b3990202, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:58, 1284723, cfdf2007e3e2c0c857ad648ef72107bb4d25375e, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:54, 1284720, 52d68e5f423cb215212cff759b39c60b9a3def62, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:50, 1284717, f2cc2699492144f89bababb25869b6a8fa929f10, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:46, 1284714, 697ff712a973fd7e088f58e7f01e15d700b0c130, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:41, 1284711, 18aaa45e787e719b74e6d3e01d3cfbbbef4797ff, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:37, 1284708, 5ddc2d4bf5b83ebf9ef4609092ef479d3efa8d68, sha1_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-14 13:55:31, 1284705, 1af682cc65c9a3c4f1f06fc1a698cf18bfeb3e12, sha1_hash, payload, win.vidar, None, Vidar, , 95, None, None, 0, Grim
2024-06-14 13:55:24, 1284702, 6a25fdb8613db00b09d4d6e1ad302c20c7f7e2c4, sha1_hash, payload, win.luca_stealer, None, Luca Stealer, , 95, None, None, 0, Grim
2024-06-14 13:55:18, 1284699, 2f82bd86db95e8d3e15972f00070fad8843d90e5, sha1_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-14 13:55:12, 1284696, f3d36b79ad5286da641ce061bde3fc2fa1cd29b4, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:55:03, 1284693, 4eb7fd4c53793c69d0a031223457475b41d76df7, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:54:58, 1284690, ae5998493bff5cbfe49007001575f498d7cb94bc, sha1_hash, payload, win.dcrat, DarkCrystal RAT, DCRat, , 95, None, None, 0, Grim
2024-06-14 13:54:53, 1284687, 6b86edf7bd3ae038b6cb3bc4fe241524f28b0b4f, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:54:48, 1284684, 438eab80f8dfbb0160bc258ccfd04b45f7e811ce, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:54:43, 1284681, 8efbf3680021b3fb3b68094ee5296dcabb5abc1a, sha1_hash, payload, win.tofsee, Gheg, Tofsee, , 95, None, None, 0, Grim
2024-06-14 13:54:39, 1284678, 4993b6f060e4f394ca587670c92b1f19bd2ff3e5, sha1_hash, payload, win.dcrat, DarkCrystal RAT, DCRat, , 95, None, None, 0, Grim
2024-06-14 13:54:34, 1284675, 5e0c09632a89f46cc9c5f9a4e839909bef0ce07e, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:54:29, 1284672, fc2cdd40c92bc66f4ebe61a90ba96b349b935526, sha1_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-14 13:54:25, 1284669, f556a8a7d6037cbebb44c6a3391e09614e597625, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:54:19, 1284666, b69743bd7536804b045d68398faeb650f85e6790, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:54:14, 1284663, 9d10c2e4a5370db71633b6eb643e7fd6a1e49e0e, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:54:08, 1284660, 6079db6c06e4117bd04d220f9e0247db6b17488a, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:54:04, 1284657, 790a8dd8acac3557bff7d43511a176ad57faadc8, sha1_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-14 13:53:58, 1284654, ca0c9b97e4f69c0eae08809171c8f0fca45c106e, sha1_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-14 13:53:52, 1284651, 901ab4142ca671f54da1d3573cc42c2a454dd637, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:53:48, 1284648, d88dc6dcee8758da7fa4b1073c599263cae47a02, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:53:44, 1284645, 3b15f69b034677f7319dff97f19ade04ee190a12, sha1_hash, payload, win.remcos, RemcosRAT,Remvio,Socmer, Remcos, , 95, None, None, 0, Grim
2024-06-14 13:53:40, 1284642, 8f0d9f0bb0bb5985ad8aa19ec49b43b5b39f7ab6, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:53:36, 1284639, 262e3f28f656945a98d6dd6c25c0188cd008a6cd, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-14 13:53:31, 1284636, d230fd8d0794cd3515c5bc95f1d2fcd16b0e4fb3, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:53:27, 1284633, e1a9b215174548a33c8569a0c9929a236e18dbd6, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:53:23, 1284630, 1377fc0213f68fbcf9b71c64a6529c960dcd1406, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-14 13:53:18, 1284627, 7b3996eb7f95fb87033b18a69f145ada5fd3825c, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
